#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                     dataset.txt|  1.91e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.23837184|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.14074529|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.49999577|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.70189542|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.95659807|  PASSED  
        diehard_opso|   0|   2097152|     100|0.13985899|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.28137245|  PASSED  
         diehard_dna|   0|   2097152|     100|0.24983895|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.52188771|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.33143613|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.44976967|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.78433891|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.91651083|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.55670431|  PASSED  
        diehard_sums|   0|       100|     100|0.09610190|  PASSED  
        diehard_runs|   0|    100000|     100|0.87270693|  PASSED  
        diehard_runs|   0|    100000|     100|0.53740930|  PASSED  
       diehard_craps|   0|    200000|     100|0.80611267|  PASSED  
       diehard_craps|   0|    200000|     100|0.95497907|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.83079387|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.38604326|  PASSED  
         sts_monobit|   1|    100000|     100|0.78824939|  PASSED  
            sts_runs|   2|    100000|     100|0.42202366|  PASSED  
          sts_serial|   1|    100000|     100|0.13968449|  PASSED  
          sts_serial|   2|    100000|     100|0.82966285|  PASSED  
          sts_serial|   3|    100000|     100|0.93046962|  PASSED  
          sts_serial|   3|    100000|     100|0.99254667|  PASSED  
          sts_serial|   4|    100000|     100|0.42025663|  PASSED  
          sts_serial|   4|    100000|     100|0.60090624|  PASSED  
          sts_serial|   5|    100000|     100|0.74211476|  PASSED  
          sts_serial|   5|    100000|     100|0.71177446|  PASSED  
          sts_serial|   6|    100000|     100|0.34564233|  PASSED  
          sts_serial|   6|    100000|     100|0.13129519|  PASSED  
          sts_serial|   7|    100000|     100|0.47410027|  PASSED  
          sts_serial|   7|    100000|     100|0.93034142|  PASSED  
          sts_serial|   8|    100000|     100|0.11909468|  PASSED  
          sts_serial|   8|    100000|     100|0.05161320|  PASSED  
          sts_serial|   9|    100000|     100|0.34687498|  PASSED  
          sts_serial|   9|    100000|     100|0.87092472|  PASSED  
          sts_serial|  10|    100000|     100|0.77622780|  PASSED  
          sts_serial|  10|    100000|     100|0.99023646|  PASSED  
          sts_serial|  11|    100000|     100|0.78169078|  PASSED  
          sts_serial|  11|    100000|     100|0.42563464|  PASSED  
          sts_serial|  12|    100000|     100|0.26692735|  PASSED  
          sts_serial|  12|    100000|     100|0.09424046|  PASSED  
          sts_serial|  13|    100000|     100|0.92594351|  PASSED  
          sts_serial|  13|    100000|     100|0.42901622|  PASSED  
          sts_serial|  14|    100000|     100|0.97724820|  PASSED  
